Date,company_name,price_open,price_close,volume,pe_trailing,pe_forward,peg,ev_ebitda,market_cap,beta
2024-11-25 00:00:00-05:00,AAPL,231.4600067138672,232.8699951171875,90152800,36.629852,32.927193,,28.113,4060701523968,1.109
2024-11-26 00:00:00-05:00,AAPL,233.3300018310547,235.05999755859375,45986200,36.629852,32.927193,,28.113,4060701523968,1.109
2024-11-27 00:00:00-05:00,AAPL,234.47000122070312,234.92999267578125,33498400,36.629852,32.927193,,28.113,4060701523968,1.109
2024-11-29 00:00:00-05:00,AAPL,234.80999755859375,237.3300018310547,28481400,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-02 00:00:00-05:00,AAPL,237.27000427246094,239.58999633789062,48137100,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-03 00:00:00-05:00,AAPL,239.80999755859375,242.64999389648438,38861000,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-04 00:00:00-05:00,AAPL,242.8699951171875,243.00999450683594,44383900,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-05 00:00:00-05:00,AAPL,243.99000549316406,243.0399932861328,40033900,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-06 00:00:00-05:00,AAPL,242.91000366210938,242.83999633789062,36870600,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-09 00:00:00-05:00,AAPL,241.8300018310547,246.75,44649200,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-10 00:00:00-05:00,AAPL,246.88999938964844,247.77000427246094,36914800,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-11 00:00:00-05:00,AAPL,247.9600067138672,246.49000549316406,45205800,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-12 00:00:00-05:00,AAPL,246.88999938964844,247.9600067138672,32777500,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-13 00:00:00-05:00,AAPL,247.82000732421875,248.1300048828125,33155300,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-16 00:00:00-05:00,AAPL,247.99000549316406,251.0399932861328,51694800,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-17 00:00:00-05:00,AAPL,250.0800018310547,253.47999572753906,51356400,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-18 00:00:00-05:00,AAPL,252.16000366210938,248.0500030517578,56774100,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-19 00:00:00-05:00,AAPL,247.5,249.7899932861328,60882300,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-20 00:00:00-05:00,AAPL,248.0399932861328,254.49000549316406,147495300,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-23 00:00:00-05:00,AAPL,254.77000427246094,255.27000427246094,40858800,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-24 00:00:00-05:00,AAPL,255.49000549316406,258.20001220703125,23234700,36.629852,32.927193,,28.113,4060701523968,1.109
2024-12-26 00:00:00-05:00,AAPL,258.19000244140625,259.0199890136719,27237100,36.629852,32.927193,,28.113,4060701523968,1.109
